Timestamp,X Position,Y Position
2024-03-24T21:43:16.200Z,907,211
2024-03-24T21:45:50.431Z,214,553
2024-03-24T21:45:51.087Z,8,608
2024-03-24T21:45:52.287Z,81,587
2024-03-24T21:45:52.647Z,78,599
2024-03-24T21:45:53.848Z,1346,380
2024-03-24T21:45:55.511Z,268,630
2024-03-24T21:45:57.023Z,75,650
2024-03-24T21:45:59.136Z,1347,542
2024-03-24T21:46:00.463Z,1358,748
2024-03-24T21:46:01.415Z,1343,541
2024-03-24T21:46:01.790Z,1337,541
2024-03-24T21:46:02.279Z,1330,542
2024-03-24T21:46:03.042Z,1187,695
2024-03-24T21:46:03.656Z,1191,678
2024-03-24T21:46:04.495Z,1168,679
2024-03-24T21:46:04.687Z,1172,695
2024-03-24T21:46:04.871Z,1172,695
2024-03-24T21:46:05.762Z,1326,540
2024-03-24T21:46:06.399Z,1100,634
2024-03-24T21:46:06.743Z,1100,649
2024-03-24T21:46:07.359Z,1096,941
2024-03-24T21:46:07.640Z,1102,949
2024-03-24T21:46:08.177Z,861,840
2024-03-24T21:46:08.359Z,841,828
2024-03-24T21:46:08.554Z,612,773
2024-03-24T21:46:08.855Z,703,781
2024-03-24T21:46:13.240Z,1337,547
2024-03-24T21:46:14.462Z,255,551
2024-03-24T21:46:16.727Z,1076,31
